HostName,PlanetLetter,DiscoveryMethod,PlanetInSS,Updated,PlanetName,DiscoveryYear,PlaceOfDiscovery,DiscoveryFacility,Telescope,Instrument,Status
K2-65,b,Transit,1,7/18/2016,K2-65 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-66,b,Transit,1,7/18/2016,K2-66 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-67,b,Transit,1,7/18/2016,K2-67 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-68,b,Transit,1,7/18/2016,K2-68 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-69,b,Transit,1,7/18/2016,K2-69 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-7,b,Transit,1,7/16/2015,K2-7 b,2015,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-70,b,Transit,1,7/18/2016,K2-70 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-71,b,Transit,1,7/18/2016,K2-71 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-72,b,Transit,4,7/18/2016,K2-72 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-73,b,Transit,1,7/18/2016,K2-73 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-74,b,Transit,1,7/18/2016,K2-74 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-75,b,Transit,2,7/18/2016,K2-75 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-76,b,Transit,1,7/18/2016,K2-76 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-77,b,Transit,1,9/29/2016,K2-77 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-79,b,Transit,1,7/18/2016,K2-79 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-8,b,Transit,2,7/7/2016,K2-8 b,2015,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-80,b,Transit,2,7/18/2016,K2-80 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-81,b,Transit,1,7/18/2016,K2-81 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-83,b,Transit,2,7/18/2016,K2-83 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-84,b,Transit,2,7/18/2016,K2-84 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-85,b,Transit,1,7/18/2016,K2-85 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-86,b,Transit,1,7/18/2016,K2-86 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-87,b,Transit,1,7/18/2016,K2-87 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-88,b,Transit,1,7/18/2016,K2-88 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-89,b,Transit,1,7/18/2016,K2-89 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-9,b,Transit,1,1/21/2016,K2-9 b,2015,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-90,b,Transit,2,7/18/2016,K2-90 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-91,b,Transit,1,7/18/2016,K2-91 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-95,b,Transit,1,9/8/2016,K2-95 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
K2-99,b,Transit,1,10/6/2016,K2-99 b,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-10,b,Transit,2,10/15/2015,Kepler-10 b,2011,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-100,b,Transit,3,5/14/2014,Kepler-100 b,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
Kepler-1000,b,Transit,1,5/10/2016,Kepler-1000 b,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3
